ground_truth,PIPLUP_no_merge,PIPLUP,count
<IMMacNotificationCenterManager: <*>: notification observer: <*> notification: __CFNotification <*> {name = <*>},<IMMacNotificationCenterManager: <*>: notification observer: <*> notification: __CFNotification <*> {name = <*>},<IMMacNotificationCenterManager: <*>: notification observer: <*> notification: __CFNotification <*> {name = <*>},147
<IMMacNotificationCenterManager: <*>: Updating enabled: <*> (Topics: (,0,0,147
<IMMacNotificationCenterManager: <*>: NC Disabled: <*>,<IMMacNotificationCenterManager: <*>: NC Disabled: NO,<IMMacNotificationCenterManager: <*>: NC Disabled: NO,147
<IMMacNotificationCenterManager: <*>: DND Enabled: <*>,0,0,147
polled file major <*> minor <*> blocksize <*> pollers <*>,polled file major <*> minor <*> blocksize <*> pollers <*>,polled file major <*> minor <*> blocksize <*> pollers <*>,137
kern_open_file_for_direct_io(<*>),kern_open_file_for_direct_io(<*>),kern_open_file_for_direct_io(<*>),137
kern_open_file_for_direct_io took <*> ms,kern_open_file_for_direct_io took <*>,kern_open_file_for_direct_io took <*>,137
Opened file <*> size <*> extents <*> maxio <*> ssd <*>,Opened file <*> size <*> extents <*> maxio <*> ssd <*>,Opened file <*> size <*> extents <*> maxio <*> ssd <*>,137
<*>(<*>) deny mach-lookup <*>,QQ(<*>) deny mach-lookup <*>,QQ(<*>) deny mach-lookup <*>,135
device_generate_desktop_screenshot: authw <*> shield <*>(<*>),"device_generate_desktop_screenshot: authw <*>), shield <*>)","device_generate_desktop_screenshot: authw <*>), shield <*>)",117
CGXDisplayDidWakeNotification [<*>]: posting kCGSDisplayDidWake,CGXDisplayDidWakeNotification [<*>]: posting kCGSDisplayDidWake,CGXDisplayDidWakeNotification [<*>]: posting kCGSDisplayDidWake,117
"device_generate_lock_screen_screenshot: authw <*>(<*>)[<*>, <*> <*>] shield <*>(<*>), dev [<*>]","device_generate_lock_screen_screenshot: authw <*>)[<*>, <*> <*>] shield <*>), dev [<*>]","device_generate_lock_screen_screenshot: authw <*>)[<*>, <*> <*>] shield <*>), dev [<*>]",117
hibernate_page_list_setall time: <*> ms,hibernate_page_list_setall time: <*>,hibernate_page_list_setall time: <*>,114
INIT -- Host controller is published,INIT -- Host controller is published,INIT -- Host controller is published,114
pages <*> wire <*> act <*> inact <*> cleaned <*> spec <*> zf <*> throt <*> compr <*> xpmapped <*>,pages <*> wire <*> act <*> inact <*> cleaned <*> spec <*> zf <*> throt <*> compr <*> xpmapped <*>,pages <*> wire <*> act <*> inact <*> cleaned <*> spec <*> zf <*> throt <*> compr <*> xpmapped <*>,114
AppleActuatorDeviceUserClient::<*> Entered,<*> Entered,<*> Entered,114
[BluetoothHIDDeviceController]ERROR: Could not find the disconnected object,[BluetoothHIDDeviceController]ERROR: Could not find the disconnected object,[BluetoothHIDDeviceController]ERROR: Could not find the disconnected object,114
[BluetoothHIDDeviceController] EventServiceConnectedCallback,[BluetoothHIDDeviceController] EventServiceConnectedCallback,[BluetoothHIDDeviceController] EventServiceConnectedCallback,114
hibernate_page_list_setall(preflight <*>) start,hibernate_page_list_setall(preflight <*>) start,hibernate_page_list_setall(preflight <*>) start,114
Error: [<*>][<*>]Couldn't copy BD_ADDR,Error: [AppleBluetoothHIDDeviceGen2][_setEventService:]Couldn't copy BD_ADDR,Error: [AppleBluetoothHIDDeviceGen2][_setEventService:]Couldn't copy BD_ADDR,114
AppleActuatorDevice::<*> Entered,<*> Entered,<*> Entered,114
[BluetoothHIDDeviceController] EventServiceDisconnectedCallback,[BluetoothHIDDeviceController] EventServiceDisconnectedCallback,[BluetoothHIDDeviceController] EventServiceDisconnectedCallback,114
WARNING: hibernate_page_list_setall skipped <*> xpmapped pages,WARNING: hibernate_page_list_setall skipped <*> xpmapped pages,WARNING: hibernate_page_list_setall skipped <*> xpmapped pages,114
<*> : BTLE scanning stopped,<*> : BTLE scanning stopped,<*> : BTLE scanning stopped,113
<*> : BTLE scanning started,<*> : BTLE scanning started,<*> : BTLE scanning started,112
[<*>] itemasync_CopyProperty signalled err=<*> (<*>) at <*> line <*>,[<*>] itemasync_CopyProperty signalled err=-<*> (kFigBaseObjectError_Invalidated) (invalidated) at <*> line <*>,[<*>] itemasync_CopyProperty signalled err=-<*> (kFigBaseObjectError_Invalidated) (invalidated) at <*> line <*>,111
Stream <*> is sending an event before being opened,Stream <*> is sending an event before being opened,Stream <*> is sending an event before being opened,108
"IOPMrootDomain: idle cancel, state <*>","IOPMrootDomain: idle cancel, state <*>","IOPMrootDomain: idle cancel, state <*>",107
<*> : Purged contact hashes,<*> : Purged contact hashes,<*> : Purged contact hashes,106
"[Accounts] Failed to update account with identifier <*> error: Error Domain=<*> Code=<*> ""(<*>)""","[Accounts] Failed to update account with identifier <*> error: Error Domain=<*> Code=<*> ""(null)""","[Accounts] Failed to update account with identifier <*> error: Error Domain=<*> Code=<*> ""(null)""",106
"[Accounts] Current connection, <NSXPCConnection: <*> connection from pid <*> doesn't have account access.","[Accounts] Current connection, <NSXPCConnection: <*> connection from pid <*> doesn't have account access.","[Accounts] Current connection, <NSXPCConnection: <*> connection from pid <*> doesn't have account access.",106
<*> : Discoverable mode changed to Contacts Only,<*> : Discoverable mode changed to Contacts Only,<*> : Discoverable mode changed to Contacts Only,105
<*> : Discoverable mode changed to Off,<*> : Discoverable mode changed to Off,<*> : Discoverable mode changed to Off,103
Failed to <*> a scan - central is not powered on: <*>,Failed to stop a scan - central is not powered on: <*>,Failed to stop a scan - central is not powered on: <*>,102
"CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data","CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data","CFPasteboardRef CFPasteboardCreate(CFAllocatorRef, CFStringRef) : failed to create global data",92
Telling CSI to exit low power.,Telling CSI to exit low power.,Telling CSI to exit low power.,91
"NETWORK: no response from server, reachability, <*> queryRetries, <*>","NETWORK: no response from server, reachability, <*> queryRetries, <*>","NETWORK: no response from server, reachability, <*> queryRetries, <*>",91
<*> : Starting AirDrop server for user <*> on wake,<*> : Starting AirDrop server for user <*> on wake,<*> : Starting AirDrop server for user <*> on wake,91
CFNetwork SSLHandshake failed (<*>),CFNetwork SSLHandshake failed (-<*>),CFNetwork SSLHandshake failed (-<*>),89
<*> ERROR: <*>: timed out after <*> (<*>); mMajorChangePending=<*>,<*> ERROR: <*>: timed out after <*> (<*>); mMajorChangePending=<*>,<*> ERROR: <*>: timed out after <*> (<*>); mMajorChangePending=<*>,87
Sandbox: SpotlightNetHelp(<*>) deny(<*>) ipc-posix-shm-read-data <*>,Sandbox: SpotlightNetHelp(<*>) deny(<*>) ipc-posix-shm-read-data CFPBS:<*>:,Sandbox: SpotlightNetHelp(<*>) deny(<*>) ipc-posix-shm-read-data CFPBS:<*>:,86
enabling pid=<*> for plug-in <*>,enabling pid=<*> for plug-in <*>) <*>,enabling pid=<*> for plug-in <*>) <*>,84
handle_will_sleep_auth_and_shield_windows: Deferring.,handle_will_sleep_auth_and_shield_windows: Deferring.,handle_will_sleep_auth_and_shield_windows: Deferring.,83
host connection <NSXPCConnection: <*> connection from pid <*> invalidated,host connection <NSXPCConnection: <*> connection from pid <*> invalidated,host connection <NSXPCConnection: <*> connection from pid <*> invalidated,82
plugin <*> invalidated,plugin <*> invalidated,plugin <*> invalidated,75
WARNING: <*> font data isn't in the correct format required by the Adobe Type <*> Font Format specification.,WARNING: Type1 font data isn't in the correct format required by the Adobe Type <*> Font Format specification.,WARNING: Type1 font data isn't in the correct format required by the Adobe Type <*> Font Format specification.,70
tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: [<*>] No route to host,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: [<*>] No route to host,tcp_connection_destination_perform_socket_connect <*> connectx to <*> failed: [<*>] No route to host,66
"PBRequester failed with Error Error Domain=<*> Code=<*> <*>"" <*> {Error Domain=<*> Code=<*> <*>"" <*> _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}}, <*> _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*>}","PBRequester failed with Error Error Domain=<*> Code=-<*> ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> Internet connection appears to be offline.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*> Internet connection appears to be offline.}","PBRequester failed with Error Error Domain=<*> Code=-<*> ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> Internet connection appears to be offline.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*> Internet connection appears to be offline.}",66
Error in CoreDragRemoveReceiveHandler: <*>,Error in CoreDragRemoveReceiveHandler: -<*>,Error in CoreDragRemoveReceiveHandler: -<*>,65
Error in CoreDragRemoveTrackingHandler: <*>,Error in CoreDragRemoveTrackingHandler: -<*>,Error in CoreDragRemoveTrackingHandler: -<*>,65
(ImportBailout.Error:<*>) Asked to exit for <*>,(ImportBailout.Error:<*>) Asked to exit for Diskarb,(ImportBailout.Error:<*>) Asked to exit for Diskarb,65
"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> secs. to complete, <*> reads >= <*> sec.","<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> secs. to complete, <*> reads >= <*>.","<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> secs. to complete, <*> reads >= <*>.",61
Endpoint has been activated through legacy launch(<*>) APIs. Please switch to XPC or bootstrap_check_in(): <*>,Endpoint has been activated through legacy launch(<*>) APIs. Please switch to XPC or bootstrap_check_in(): <*>,Endpoint has been activated through legacy launch(<*>) APIs. Please switch to XPC or bootstrap_check_in(): <*>,59
wake time set <*> s,wake time set -<*>,wake time set -<*>,58
did discard act <*> inact <*> purgeable <*> spec <*> cleaned <*>,did discard act <*> inact <*> purgeable <*> spec <*> cleaned <*>,did discard act <*> inact <*> purgeable <*> spec <*> cleaned <*>,57
encryptStart <*>,encryptStart <*>,encryptStart <*>,57
Unable to start NetBIOS name service:,Unable to start NetBIOS name service:,Unable to start NetBIOS name service:,57
efi pagecount <*>,efi pagecount <*>,efi pagecount <*>,57
hibernate_teardown: mark_as_unneeded_pages <*>,hibernate_teardown: mark_as_unneeded_pages <*> <*>,hibernate_teardown: mark_as_unneeded_pages <*> <*>,57
could discard act <*> inact <*> purgeable <*> spec <*> cleaned <*>,could discard act <*> inact <*> purgeable <*> spec <*> cleaned <*>,could discard act <*> inact <*> purgeable <*> spec <*> cleaned <*>,57
hostControllerOnline - Number of Paired devices = <*> List of Paired devices = (,hostControllerOnline - Number of Paired devices = <*> List of Paired devices = (,hostControllerOnline - Number of Paired devices = <*> List of Paired devices = (,57
hibernate_teardown started,hibernate_teardown started,hibernate_teardown started,57
hibernate_teardown completed - discarded <*>,hibernate_teardown completed - discarded <*>,hibernate_teardown completed - discarded <*>,57
hibernate_teardown: wired_pages <*> free_pages <*> active_pages <*> inactive_pages <*> speculative_pages <*> cleaned_pages <*> compressor_pages <*>,hibernate_teardown: wired_pages <*> free_pages <*> active_pages <*> inactive_pages <*> speculative_pages <*> cleaned_pages <*> compressor_pages <*>,hibernate_teardown: wired_pages <*> free_pages <*> active_pages <*> inactive_pages <*> speculative_pages <*> cleaned_pages <*> compressor_pages <*>,57
hibernate_setup(<*>) took <*> ms,hibernate_setup(<*>) took <*>,hibernate_setup(<*>) took <*>,57
hibernate_teardown_pmap_structs done: last_valid_compact_indx <*>,hibernate_teardown_pmap_structs done: last_valid_compact_indx <*>,hibernate_teardown_pmap_structs done: last_valid_compact_indx <*>,57
IOPolledFilePollersOpen(<*>) <*> ms,IOPolledFilePollersOpen(<*>) <*>,IOPolledFilePollersOpen(<*>) <*>,57
"IOHibernatePollerOpen, ml_get_interrupts_enabled <*>","IOHibernatePollerOpen, ml_get_interrupts_enabled <*>","IOHibernatePollerOpen, ml_get_interrupts_enabled <*>",57
IOHibernatePollerOpen(<*>),IOHibernatePollerOpen(<*>),IOHibernatePollerOpen(<*>),57
IOBluetoothUSBDFU::probe avoid Bluetooth automatic firmware update because USB Bluetooth active,IOBluetoothUSBDFU::probe avoid Bluetooth automatic firmware update because USB Bluetooth active,IOBluetoothUSBDFU::probe avoid Bluetooth automatic firmware update because USB Bluetooth active,57
IOBluetoothUSBDFU::probe,IOBluetoothUSBDFU::probe,IOBluetoothUSBDFU::probe,57
hibernate_rebuild_pmap_structs done: last_valid_compact_indx <*>,hibernate_rebuild_pmap_structs done: last_valid_compact_indx <*>,hibernate_rebuild_pmap_structs done: last_valid_compact_indx <*>,57
hibernate_rebuild started,hibernate_rebuild started,hibernate_rebuild started,57
hibernate_rebuild completed - took <*> msecs,<*> completed - took <*> msecs,<*> completed - took <*> msecs,57
Host controller terminated,Host controller terminated,Host controller terminated,57
hciControllerOnline; HID devices? <*>,hciControllerOnline; HID devices? <*>,hciControllerOnline; HID devices? <*>,57
BuildActDeviceEntry exit,BuildActDeviceEntry exit,BuildActDeviceEntry exit,57
PMStats: Hibernate read took <*> ms,PMStats: Hibernate read took <*>,PMStats: Hibernate read took <*>,57
Previous shutdown cause: <*>,Previous shutdown cause: <*>,Previous shutdown cause: <*>,57
hibernate_page_list_setall preflight pageCount <*> est comp <*> setfile <*> min <*>,hibernate_page_list_setall preflight pageCount <*> est comp <*> setfile <*> min <*>,hibernate_page_list_setall preflight pageCount <*> est comp <*> setfile <*> min <*>,57
hibernate_page_list_setall found pageCount <*>,hibernate_page_list_setall found pageCount <*>,hibernate_page_list_setall found pageCount <*>,57
"hibernate_newruntime_map time: <*> ms, IOPolledFilePollersOpen(), ml_get_interrupts_enabled <*>","hibernate_newruntime_map time: <*> IOPolledFilePollersOpen(), ml_get_interrupts_enabled <*>","hibernate_newruntime_map time: <*> IOPolledFilePollersOpen(), ml_get_interrupts_enabled <*>",57
hibernate_machine_init: state <*> image pages <*> sum was <*> imageSize <*> image1Size <*> conflictCount <*> nextFree <*>,hibernate_machine_init: state <*> image pages <*> sum was <*> imageSize <*> image1Size <*> conflictCount <*> nextFree <*>,hibernate_machine_init: state <*> image pages <*> sum was <*> imageSize <*> image1Size <*> conflictCount <*> nextFree <*>,57
hibernate_machine_init reading,hibernate_machine_init reading,hibernate_machine_init reading,57
bitmap_size <*> previewSize <*> writing <*> pages @ <*>,bitmap_size <*> previewSize <*> writing <*> pages @ <*>,bitmap_size <*> previewSize <*> writing <*> pages @ <*>,57
"hibernate_machine_init pagesDone <*> sum2 <*> time: <*> ms, disk(<*>) <*> Mb/s, comp bytes: <*> time: <*> ms <*> Mb/s, crypt bytes: <*> time: <*> ms <*> Mb/s",hibernate_machine_init pagesDone <*> sum2 <*> time: <*> disk(<*>) <*> comp bytes: <*> time: <*> crypt bytes: <*> time: <*>,hibernate_machine_init pagesDone <*> sum2 <*> time: <*> disk(<*>) <*> comp bytes: <*> time: <*> crypt bytes: <*> time: <*>,57
hibernate_flush_memory: buffer_cache_gc freed up <*> wired pages,hibernate_flush_memory: buffer_cache_gc freed up <*> wired pages,hibernate_flush_memory: buffer_cache_gc freed up <*> wired pages,57
hibernate_alloc_pages act <*> inact <*> anon <*> throt <*> spec <*> wire <*> wireinit <*>,hibernate_alloc_pages act <*> inact <*> anon <*> throt <*> spec <*> wire <*> wireinit <*>,hibernate_alloc_pages act <*> inact <*> anon <*> throt <*> spec <*> wire <*> wireinit <*>,57
hibernate image path: <*>,hibernate image path: <*>,hibernate image path: <*>,57
"booter start at <*> ms smc <*> ms, [<*>, <*> <*>] total <*> ms, dsply <*> ms, tramp <*> ms","booter start at <*> smc <*> [<*>, <*> <*>] total <*> dsply <*> tramp <*>","booter start at <*> smc <*> [<*>, <*> <*>] total <*> dsply <*> tramp <*>",57
BuildActDeviceEntry enter,BuildActDeviceEntry enter,BuildActDeviceEntry enter,57
**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- Connected to the transport successfully -- <*> -- <*> -- <*> ****,**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- Connected to the transport successfully -- <*> -- <*> -- <*> ****,**** [IOBluetoothFamily][ProcessBluetoothTransportShowsUpActionWL] -- Connected to the transport successfully -- <*> -- <*> -- <*> ****,57
